-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.261,  0.280
-183.793, 80.173, 0.372,  0.313
-183.790, 80.158, 0.466,  0.346
-183.788, 80.136, 0.652,  0.379
-183.786, 80.109, 0.834,  0.412
-183.784, 80.075, 1.045,  0.445
-183.782, 80.033, 1.275,  0.478
-183.780, 79.984, 1.470,  0.511
-183.779, 79.931, 1.584,  0.544
-183.777, 79.877, 1.641,  0.577
-183.775, 79.822, 1.671,  0.610
-183.773, 79.766, 1.679,  0.643
-183.771, 79.711, 1.672,  0.676
-183.770, 79.657, 1.653,  0.709
-183.768, 79.604, 1.625,  0.742
-183.766, 79.552, 1.573,  0.775
-183.764, 79.502, 1.531,  0.808
-183.763, 79.452, 1.497,  0.841
-183.761, 79.404, 1.486,  0.874
-183.759, 79.354, 1.499,  0.907
-183.757, 79.304, 1.527,  0.940
-183.755, 79.252, 1.553,  0.973
-183.753, 79.200, 1.567,  1.006
-183.751, 79.148, 1.570,  1.039
-183.749, 79.096, 1.570,  1.072
-183.747, 79.044, 1.572,  1.105
-183.745, 78.992, 1.577,  1.138
-183.743, 78.939, 1.583,  1.171
-183.741, 78.886, 1.590,  1.204
-183.739, 78.833, 1.596,  1.237
-183.737, 78.780, 1.601,  1.270
-183.735, 78.726, 1.606,  1.303
-183.733, 78.673, 1.611,  1.336
-183.731, 78.619, 1.616,  1.369
-183.728, 78.565, 1.621,  1.402
-183.726, 78.511, 1.627,  1.435
-183.724, 78.457, 1.632,  1.468
-183.722, 78.402, 1.638,  1.501
-183.720, 78.348, 1.643,  1.534
-183.718, 78.293, 1.648,  1.567
-183.715, 78.238, 1.654,  1.600
-183.713, 78.183, 1.659,  1.633
-183.711, 78.127, 1.665,  1.666
-183.709, 78.072, 1.670,  1.699
-183.706, 78.016, 1.676,  1.732
